company,ticker,exchange,total_racks_2024,key_locations,fy2024_revenue_cny_bn,market_cap_cny_bn,notes
万国数据,GDS,NASDAQ,80000,北京/上海/深圳/张家口/廊坊/南通,9.96,28.5,中国IDC龙头;海外业务剥离单独上市
世纪互联,VNET,NASDAQ,60000,北京/上海/广州/佛山/中卫,7.85,9.2,老牌IDC;转型批发型业务
润泽科技,300442,SZSE,52000,廊坊/平湖/重庆/惠州/兰州,4.36,42.0,A股IDC龙头;扩张迅速
宝信软件,600845,SSE,30000,上海/罗泾/武汉,15.5,68.0,宝武系;工业互联网+IDC
数据港,603881,SSE,28000,上海/张北/南通/河北,1.78,8.5,阿里系IDC供应商
光环新网,300383,SZSE,32000,北京/上海/燕郊,7.65,12.8,曾是AWS中国合作伙伴
奥飞数据,300738,SZSE,15000,广州/廊坊/惠州/南宁,1.21,9.5,粤港澳IDC
科华数据,002335,SZSE,18000,福州/北京/天津,7.42,15.2,UPS+IDC
易华录,300212,SZSE,12000,京津冀/长三角,4.85,6.8,数据湖+IDC
鹏博士,600804,SSE,8000,北京/成都,3.21,6.5,转型中
中际旭创,300308,SZSE,,光模块,16.5,180.0,非IDC但是AI算力核心受益;光模块龙头
新易盛,300502,SZSE,,光模块,4.85,55.0,光模块第二梯队
浪潮信息,000977,SZSE,,服务器,72.5,75.0,AI服务器龙头;IDC上游
